org_id,supplier_name,name_with_id
396,California Water Service Co. - Herm - Redo,California Water Service Co. - Herm - Redo - 396
1945,"Pomona - City, Water Department","Pomona - City, Water Department - 1945"
4993,Santa Clarita Valley W.a. - Valencia Divis,Santa Clarita Valley W.a. - Valencia Divis - 4993
4993,Santa Clarita Valley W.a. - Santa Clarita,Santa Clarita Valley W.a. - Santa Clarita - 4993
2425,City Of Sunnyvale,City Of Sunnyvale - 2425
391,California Water Service Co. - Dominguez,California Water Service Co. - Dominguez - 391
1004,"Glendale - City, Water Department","Glendale - City, Water Department - 1004"
977,City Of Garden Grove,City Of Garden Grove - 977
2603,City Of Vallejo,City Of Vallejo - 2603
123,City Of Bakersfield,City Of Bakersfield - 123
624,City Of Corona,City Of Corona - 624
2000,Rancho California Water District,Rancho California Water District - 2000
2132,Sacramento County Water Agency - Laguna - Vineyard,Sacramento County Water Agency - Laguna - Vineyard - 2132
2207,City Of Santa Ana,City Of Santa Ana - 2207
424,California Water Service - Stockton,California Water Service - Stockton - 424
2167,San Gabriel Valley Water Co. - El Monte,San Gabriel Valley Water Co. - El Monte - 2167
2140,Sacramento Suburban Water District,Sacramento Suburban Water District - 2140
2217,Santa Margarita Water District,Santa Margarita Water District - 2217
1663,Moulton Niguel Water District,Moulton Niguel Water District - 1663
1546,Marin Municipal Water District,Marin Municipal Water District - 1546
386,Cws - Bakersfield,Cws - Bakersfield - 386
1464,Long Beach Utilities Department,Long Beach Utilities Department - 1464
2130,City Of Sacramento Main,City Of Sacramento Main - 2130
2175,San Jose Water,San Jose Water - 2175
1473,"Los Angeles - City, Department. Of Water & Power","Los Angeles - City, Department. Of Water & Power - 1473"
445,Cambria Comm Services District,Cambria Comm Services District - 445
2633,"Vernon - City, Water Department","Vernon - City, Water Department - 2633"
397,Cws Southlake System,Cws Southlake System - 397
2180,San Lorenzo Valley Water District - Felton Water System,San Lorenzo Valley Water District - Felton Water System - 2180
2167,San Gabriel Valley Water Co - Montebello 1,San Gabriel Valley Water Co - Montebello 1 - 2167
2174,City Of San Jose - Nsj - Alviso,City Of San Jose - Nsj - Alviso - 2174
397,Cws - Kernville,Cws - Kernville - 397
1094,Greenfield County Water District,Greenfield County Water District - 1094
390,California Water Service Co. - Dixon,California Water Service Co. - Dixon - 390
2298,"Signal Hill - City, Water Department","Signal Hill - City, Water Department - 2298"
2132,Sacramento County Water Agency - Arden Park Vista,Sacramento County Water Agency - Arden Park Vista - 2132
102,Arvin Community Services District,Arvin Community Services District - 102
2290,"Sierra Madre - City, Water Department","Sierra Madre - City, Water Department - 2290"
2691,Westborough Water District,Westborough Water District - 2691
1644,Montebello Land & Water Co,Montebello Land & Water Co - 1644
787,City Of East Palo Alto,City Of East Palo Alto - 787
2169,City Of San Jacinto,City Of San Jacinto - 2169
1587,Menlo Park Municipal Water,Menlo Park Municipal Water - 1587
1181,Town Of Hillsborough,Town Of Hillsborough - 1181
485,Carpinteria Valley Water District,Carpinteria Valley Water District - 485
1869,Liberty Utilities - Lynwood,Liberty Utilities - Lynwood - 1869
2065,City Of Ripon,City Of Ripon - 2065
2060,Rio Linda - Elverta Community Water District,Rio Linda - Elverta Community Water District - 2060
372,Cal Am - Fruitridge Vista,Cal Am - Fruitridge Vista - 372
1408,Temescal Valley Water District,Temescal Valley Water District - 1408
1110,City Of Grover Beach Public Works Department,City Of Grover Beach Public Works Department - 1110
2132,Sacramento County Water Agency Mather - Sunrise,Sacramento County Water Agency Mather - Sunrise - 2132
2241,City Of Seal Beach,City Of Seal Beach - 2241
1660,Morro Bay Public Works Department - Water Division,Morro Bay Public Works Department - Water Division - 1660
2215,"Santa Fe Springs - City, Water Department","Santa Fe Springs - City, Water Department - 2215"
1217,"Huntington Park - City, Water Department","Huntington Park - City, Water Department - 1217"
1803,Orange Vale Water Company,Orange Vale Water Company - 1803
1983,Quartz Hill Water District,Quartz Hill Water District - 1983
2180,San Lorenzo Valley Water District,San Lorenzo Valley Water District - 2180
1188,City Of Hollister,City Of Hollister - 1188
1142,Hawthorne - City Of City Water Department,Hawthorne - City Of City Water Department - 1142
2419,Sunny Slope Water Co,Sunny Slope Water Co - 2419
386,Cws - North Garden,Cws - North Garden - 386
1866,"Paramount - City, Water Department","Paramount - City, Water Department - 1866"
1732,City Of Norco,City Of Norco - 1732
784,East Niles Community Services District,East Niles Community Services District - 784
856,Estero Municipal Improvement District,Estero Municipal Improvement District - 856
1605,Mid - Peninsula Water District,Mid - Peninsula Water District - 1605
1782,Oildale Mutual Water Company,Oildale Mutual Water Company - 1782
575,Coachella Water Authority,Coachella Water Authority - 575
1927,Placer Cwa - Auburn - Bowman,Placer Cwa - Auburn - Bowman - 1927
2405,Suisun - Solano Water Authority,Suisun - Solano Water Authority - 2405
2165,San Gabriel County Water District,San Gabriel County Water District - 2165
1335,Laguna Beach County Water District,Laguna Beach County Water District - 1335
1157,City Of Hemet,City Of Hemet - 1157
1899,"Pico Rivera - City, Water Department","Pico Rivera - City, Water Department - 1899"
178,City Of Benicia,City Of Benicia - 178
830,El Toro Water District,El Toro Water District - 830
420,California Water Service - San Carlos,California Water Service - San Carlos - 420
1875,Paso Robles Water Department,Paso Robles Water Department - 1875
193,"Beverly Hills - City, Water Department","Beverly Hills - City, Water Department - 193"
2177,City Of San Juan Capistrano,City Of San Juan Capistrano - 2177
481,Carmichael Water District,Carmichael Water District - 481
2723,"Whittier - City, Water Department","Whittier - City, Water Department - 2723"
2157,City Of San Bruno,City Of San Bruno - 2157
1234,Indian Wells Valley W.d,Indian Wells Valley W.d - 1234
263,City Of Brea,City Of Brea - 263
1739,North Coast County Water District,North Coast County Water District - 1739
835,Elk Grove Water District,Elk Grove Water District - 835
2605,Valley County Water District,Valley County Water District - 2605
1626,Mission Springs Water District,Mission Springs Water District - 1626
1536,"Manhattan Beach - City, Water Department","Manhattan Beach - City, Water Department - 1536"
1650,"Monterey Park - City, Water Department","Monterey Park - City, Water Department - 1650"
1005,"Glendora - City, Water Department","Glendora - City, Water Department - 1005"
1510,City Of Madera,City Of Madera - 1510
93,City Of Arcadia,City Of Arcadia - 93
2115,Rowland Water District,Rowland Water District - 2115
2528,City Of Tustin,City Of Tustin - 2528
607,"Compton - City, Water Department","Compton - City, Water Department - 607"
2182,San Luis Obispo Water Department,San Luis Obispo Water Department - 2182
1619,City Of Milpitas,City Of Milpitas - 1619
2330,Soquel Creek Water District,Soquel Creek Water District - 2330
1125,City Of Hanford,City Of Hanford - 1125
422,California Water Service - S San Francisco,California Water Service - S San Francisco - 422
1869,Liberty Utilities - Bellflower - Norwalk,Liberty Utilities - Bellflower - Norwalk - 1869
30,City Of Alhambra,City Of Alhambra - 30
387,California Water Service - Bear Gulch,California Water Service - Bear Gulch - 387
402,Cwsc Los Altos Suburban,Cwsc Los Altos Suburban - 402
1851,City Of Palo Alto,City Of Palo Alto - 1851
1748,North Marin Water District,North Marin Water District - 1748
1236,Indio Water Authority,Indio Water Authority - 1236
727,Desert Water Agency,Desert Water Agency - 727
1927,Placer Cwa - Foothill,Placer Cwa - Foothill - 1927
2782,Yorba Linda Water District,Yorba Linda Water District - 2782
2496,City Of Tracy,City Of Tracy - 2496
413,California Water Service Co. - Palos Ver,California Water Service Co. - Palos Ver - 413
369,Cal Am Water Company - Ralph Lane,Cal Am Water Company - Ralph Lane - 369
369,Cal Am Water Company - Chualar,Cal Am Water Company - Chualar - 369
369,Cal Am Water Company - Ambler Park,Cal Am Water Company - Ambler Park - 369
369,Cal Am Water Company - Toro,Cal Am Water Company - Toro - 369
369,Cal Am Water Company - Hidden Hills,Cal Am Water Company - Hidden Hills - 369
417,Country Meadows Mutual Water Company,Country Meadows Mutual Water Company - 417
417,Cwsc Las Lomas,Cwsc Las Lomas - 417
417,Cwsc Oak Hills,Cwsc Oak Hills - 417
2603,City Of Vallejo - Lakes System,City Of Vallejo - Lakes System - 2603
2451,City Of Tehachapi,City Of Tehachapi - 2451
2237,Scotts Valley Water District,Scotts Valley Water District - 2237
2063,City Of Rio Vista,City Of Rio Vista - 2063
2260,City Of Shafter,City Of Shafter - 2260
1333,"La Verne, City Water District","La Verne, City Water District - 1333"
1238,"Inglewood - City, Water Department","Inglewood - City, Water Department - 1238"
1424,City Of Lincoln,City Of Lincoln - 1424
110,City Of Atwater,City Of Atwater - 110
2523,Tuolumne Utilities District - Wards Ferry Ranches,Tuolumne Utilities District - Wards Ferry Ranches - 2523
2523,Tuolumne Utilities District - Peaceful Pines Water System,Tuolumne Utilities District - Peaceful Pines Water System - 2523
1718,Nevada Id - Smartsville,Nevada Id - Smartsville - 1718
2523,Tuolumne Utilities District - Phoenix Lake Park,Tuolumne Utilities District - Phoenix Lake Park - 2523
2523,Tuolumne Utilities District - Apple Valley Estates,Tuolumne Utilities District - Apple Valley Estates - 2523
2523,Tuolumne Utilities District - Scenic View - Scenic Brook,Tuolumne Utilities District - Scenic View - Scenic Brook - 2523
2523,Tuolumne Utilities District - Ponderosa,Tuolumne Utilities District - Ponderosa - 2523
376,Cal American Water Company - Las Posas Estates,Cal American Water Company - Las Posas Estates - 376
